run_id,model,seed,target,n_train,n_test,accuracy,f1_macro,f1_weighted,mae_ordinal,kappa_qw,auc_ovr,time_seconds,cv_f1_weighted_mean,cv_f1_weighted_std,best_params
20260511_223913,log_reg,7,confianza_idx_round,402,173,0.3583815028901734,0.307834717157961,0.35901765507473893,0.9884393063583815,0.1504872705295761,0.6060050062803394,6.56,0.4094676158929116,0.04892597699198407,"{""clf__C"": 1}"
20260511_223913,log_reg,13,confianza_idx_round,402,173,0.34104046242774566,0.3045149035651666,0.34412554752635766,0.976878612716763,0.19382355264197138,0.5645704600367222,7.34,0.3958964194517966,0.05176326580755271,"{""clf__C"": 100}"
20260511_223913,log_reg,21,confianza_idx_round,402,173,0.3063583815028902,0.23303780936216567,0.3117037020661413,0.9884393063583815,0.13533937191887147,0.5658685716057379,5.46,0.386018534856134,0.03772045065893727,"{""clf__C"": 100}"
20260511_223913,log_reg,42,confianza_idx_round,402,173,0.3352601156069364,0.3119584787050133,0.3362972786130801,1.0057803468208093,0.12808577573753643,0.56918757244394,4.79,0.3884039198773951,0.05828070376861018,"{""clf__C"": 0.1}"
20260511_223913,random_forest,0,confianza_idx_round,402,173,0.4393063583815029,0.42023291767610427,0.4331872549318508,0.838150289017341,0.22238282420546074,0.6937813784639192,509.59,0.46407204518267625,0.042847482036746445,"{""clf__n_estimators"": 200, ""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 1, ""clf__max_samples"": 0.8, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": null, ""clf__class_weight"": ""balanced"", ""clf__bootstrap"": true}"
20260511_223913,random_forest,7,confianza_idx_round,402,173,0.47398843930635837,0.43305783549319593,0.47116577305593044,0.791907514450867,0.20124492962222196,0.69617840575992,547.87,0.4631561752081771,0.05055410024760372,"{""clf__n_estimators"": 400, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 1, ""clf__max_samples"": 0.8, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 30, ""clf__class_weight"": ""balanced_subsample"", ""clf__bootstrap"": true}"
20260511_223913,random_forest,13,confianza_idx_round,402,173,0.4624277456647399,0.4101642463576498,0.45002110452212185,0.815028901734104,0.20282446877973248,0.6585925793832579,351.4,0.5100363913383086,0.04645817408105619,"{""clf__n_estimators"": 200, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 1, ""clf__max_samples"": null, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 30, ""clf__class_weight"": ""balanced"", ""clf__bootstrap"": true}"
20260511_223913,random_forest,21,confianza_idx_round,402,173,0.48554913294797686,0.36255079750020813,0.47359206645764945,0.7167630057803468,0.3015527950310559,0.7060866908894594,231.85,0.4684883934693104,0.028996315492066875,"{""clf__n_estimators"": 400, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 1, ""clf__max_samples"": null, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 10, ""clf__class_weight"": ""balanced_subsample"", ""clf__bootstrap"": true}"
20260511_223913,random_forest,42,confianza_idx_round,402,173,0.44508670520231214,0.3762365454033267,0.4373983493692771,0.8323699421965318,0.168594201766039,0.6622237670419068,370.07,0.4878523117547589,0.06988442151137443,"{""clf__n_estimators"": 600, ""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 2, ""clf__max_samples"": 0.8, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 20, ""clf__class_weight"": ""balanced_subsample"", ""clf__bootstrap"": true}"
20260511_223913,svm_rbf,0,confianza_idx_round,402,173,0.4393063583815029,0.4572799241666853,0.4410700719742709,0.8497109826589595,0.2202386212991605,0.6684180099374851,92.16,0.4740183126854327,0.04157438198592117,"{""clf__C"": 5.547119471592121, ""clf__gamma"": 0.03766576841599294}"
